bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,missing_detection,mean_score_pct,detachs?,note
0,,,,,55,0,0,,False,no_attached_run
1,,,,,226,0,0,,False,no_attached_run
2,,,,,86,0,0,,False,no_attached_run
3,,,,,130,0,0,,False,no_attached_run
4,,,,,141,0,0,,False,no_attached_run
5,,,,,9,0,0,,False,no_attached_run
6->19<->16,1,42,41,0.01025,22,0,8,0.7291855684348515,True,
7,,,,,208,0,0,,False,no_attached_run
8<->24,1,16,15,0.00375,18,0,1,0.844431683421135,True,
9,,,,,121,0,0,,False,no_attached_run
10->15<->13<->15<->13,1,12,11,0.00275,6,0,0,0.9084077229102453,True,
11,1,,,,8,0,14,0.014124888495395059,False,disappear after frame 21
12,,,,,40,31,0,,False,no_attached_run
13<->15<->13,10,12,2,0.0005,331,0,0,0.7858359416325887,True,
14,,,,,1,1,0,,False,no_attached_run
15<->13<->15<->13,6,12,6,0.0015,6,0,0,0.8727558595793588,True,
16,37,42,5,0.00125,20,14,3,0.3850400944550832,True,
17,5,12,7,0.00175,245,0,4,0.3862825632095337,True,
18,,,,,1,1,0,,False,no_attached_run
19<->16,24,42,18,0.0045,24,1,7,0.5055829380687914,True,
20,,,,,199,0,0,,False,no_attached_run
21,,,,,1,1,0,,False,no_attached_run
22<->27<->22,13,,,,19,0,1,0.03822857398966219,False,disappear after frame 32
24,25,27,2,0.0005,323,0,0,0.8362160921096802,True,
25->8,16,24,8,0.002,5,0,0,0.9260721670256721,True,
27<->22,22,,,,1,0,1,0.022666127671229157,False,disappear after frame 32
29,26,,,,13,0,1,0.026405566533406574,False,disappear after frame 38
30->19<->40<->19,32,60,28,0.007,17,0,3,0.8005721569061279,True,
31,,,,,4,0,0,,False,no_attached_run
32,,,,,1,0,0,,False,no_attached_run
33,41,,,,58,0,2,0.12561877486349524,False,disappear after frame 99
35->43->24,48,89,41,0.01025,37,0,0,0.9370198278200059,True,
39,59,123,64,0.016,269,23,3,0.8905869318888737,True,
40<->19,59,60,1,0.00025,256,0,0,0.714274138212204,True,
43->24,85,89,4,0.001,4,0,0,0.8215422868728638,True,
44,,,,,1,1,0,,False,no_attached_run
46,88,,,,3,0,1,0.006748525137753831,False,disappear after frame 90
47,,,,,4,0,0,,False,no_attached_run
48<->60,94,126,32,0.008,35,0,4,0.7859310363278245,True,
49,92,,,,2,0,12,0.0040212358968953294,False,disappear after frame 104
50,96,101,5,0.00125,113,0,2,0.5157767633597056,True,
51,118,119,1,0.00025,277,0,0,0.8359752595424652,True,
52,99,124,25,0.00625,23,0,3,0.7865053484073052,True,
54,,,,,1,1,0,,False,no_attached_run
57,,,,,14,0,0,,False,no_attached_run
58,,,,,4,0,0,,False,no_attached_run
59->61<->39<->61<->39,117,141,24,0.006,47,0,4,0.6685939693450927,True,
60,122,126,4,0.001,145,0,3,0.3204201698303223,True,
61<->39,125,126,1,0.00025,36,0,0,0.7589192986488342,True,
62,,,,,85,0,0,,False,no_attached_run
63,,,,,6,0,0,,False,no_attached_run
64->48,125,141,16,0.004,11,0,0,0.937844875980826,True,
65<->78<->65,130,185,55,0.01375,320,0,3,0.876518896647862,True,
66,,,,,5,0,0,,False,no_attached_run
67,,,,,2,0,0,,False,no_attached_run
68,143,,,,12,0,1,0.03206864473698017,False,disappear after frame 154
69,163,,,,1,0,1,0.0026034985106593122,False,disappear after frame 163
70,,,,,2,0,0,,False,no_attached_run
72->81->60,160,210,50,0.0125,46,0,1,0.935471748604494,True,
73->84,168,221,53,0.01325,41,0,1,0.9091572938142,True,
74,,,,,3,0,0,,False,no_attached_run
75,,,,,2,0,0,,False,no_attached_run
76,,,,,1,0,0,,False,no_attached_run
77->65<->78,177,198,21,0.00525,8,0,8,0.5710162601687692,True,
78<->65,182,185,3,0.00075,17,0,1,0.588571086525917,True,
80,185,187,2,0.0005,106,0,1,0.49434802929560345,True,
81<->60->81->60,202,210,8,0.002,8,0,1,0.7748055656750997,True,
82->84,196,221,25,0.00625,36,0,1,0.9151149644301488,True,
84,209,221,12,0.003,27,2,1,0.8698458671569824,True,
85->65,197,209,12,0.003,11,0,1,0.7992858932568476,True,
88,,,,,1,1,0,,False,no_attached_run
89,,,,,1,0,0,,False,no_attached_run
90,,,,,74,0,0,,False,no_attached_run
91,208,,,,3,0,1,0.009945396389534225,False,disappear after frame 210
92,,,,,22,0,0,,False,no_attached_run
93<->104,215,249,34,0.0085,64,0,0,0.9191742999213083,True,
94->101->65<->101,213,247,34,0.0085,30,0,1,0.8836625576019287,True,
95,,,,,1,1,0,,False,no_attached_run
99,235,,,,1,0,1,0.0029889350115510933,False,disappear after frame 235
101->65<->101,244,247,3,0.00075,3,0,0,0.8223531395196915,True,
102->93,249,277,28,0.007,20,0,8,0.6646268799387175,True,
103<->118,249,302,53,0.01325,204,0,5,0.8306731714142693,True,
104->93,274,277,3,0.00075,191,0,0,0.8287969678640366,True,
105<->84,250,251,1,0.00025,224,0,0,0.7621533572673798,True,
106,,,,,20,0,0,,False,no_attached_run
108<->109<->141->137->141->137->141<->137->141<->137<->141,253,401,148,0.037,47,10,23,0.7955784493644765,True,
109<->141->137->141->137->141<->137->141<->137<->141,261,401,140,0.035,101,5,22,0.7961446710512148,True,
111<->108<->111<->108->111<->108<->111,279,,,,19,2,18,0.09309163583716765,False,disappear after frame 318
112<->125,285,332,47,0.01175,67,0,0,0.9151400662958622,True,
113,,,,,170,16,0,,False,no_attached_run
116,,,,,62,0,0,,False,no_attached_run
117->118<->103<->118<->103,300,310,10,0.0025,6,0,0,0.8829961093989286,True,
118<->103<->118<->103,306,310,4,0.001,16,0,0,0.8540637731552124,True,
119,,,,,1,0,0,,False,no_attached_run
121->118,311,325,14,0.0035,9,0,0,0.8596553444862366,True,
122,,,,,1,0,0,,False,no_attached_run
123<->111,316,,,,129,0,2,0.009517516568303108,False,disappear after frame 318
125,331,332,1,0.00025,2,0,0,0.8708892166614532,True,
126,,,,,1,1,0,,False,no_attached_run
127,328,,,,17,0,1,0.10488246099368946,False,disappear after frame 344
128->112<->136<->112,331,352,21,0.00525,15,0,1,0.8352507813410326,True,
129,,,,,4,3,0,,False,no_attached_run
132,,,,,38,38,0,,False,no_attached_run
133,,,,,17,0,0,,False,no_attached_run
135->137->141->137->141<->137->141<->137<->141,353,401,48,0.012,20,0,17,0.5965075809128431,True,
136<->112,347,352,5,0.00125,25,0,1,0.6902574598789215,True,
137->141->137->141<->137->141<->137<->141,373,401,28,0.007,13,0,7,0.6877280000982613,True,
138,350,,,,2,0,1,0.013036612480405777,False,disappear after frame 351
140<->151<->140<->151,352,401,49,0.01225,46,0,1,0.9018264818191528,True,
141->137->141->137->141<->137->141<->137<->141,372,401,29,0.00725,82,3,7,0.6914038101832072,True,
143,364,,,,19,0,1,0.15741458162665367,False,disappear after frame 382
144,,,,,91,0,0,,False,no_attached_run
148,385,388,3,0.00075,90,0,1,0.662347599864006,True,
149,389,437,48,0.012,79,0,2,0.8996335803246012,True,
150,,,,,1,1,0,,False,no_attached_run
151<->140<->151,395,401,6,0.0015,50,0,1,0.7037086486816406,True,
152,397,,,,66,38,13,0.7581350365771523,False,attach_until_end
153,398,,,,3,0,4,0.03417856188920828,False,disappear after frame 403
154->155,404,420,16,0.004,10,0,0,0.8977138189708486,True,
155,413,420,7,0.00175,28,0,0,0.8409390971064568,True,
157,,,,,1,1,0,,False,no_attached_run
158<->164,421,469,48,0.012,49,4,1,0.9291441209462225,True,
159,427,,,,3,0,1,0.055136416639600484,False,disappear after frame 429
160,447,448,1,0.00025,3,0,0,0.7528943717479706,True,
161,,,,,6,0,0,,False,no_attached_run
162,435,,,,10,0,1,0.22396183013916016,False,disappear after frame 444
163->155,437,448,11,0.00275,10,0,0,0.8686079581578573,True,
164,,,,,7,6,0,,False,no_attached_run
165,,,,,5,0,0,,False,no_attached_run
166,,,,,1,0,0,,False,no_attached_run
167,450,,,,26,0,0,0.9348760957901294,False,attach_until_end
168,450,,,,15,0,11,0.5319503797934606,False,attach_until_end
169,,,,,2,2,0,,False,no_attached_run
170,451,473,22,0.0055,13,0,10,0.5191268609917682,True,
173,,,,,13,1,0,,False,no_attached_run
174,,,,,3,3,0,,False,no_attached_run
177<->170,467,473,6,0.0015,5,0,2,0.5630053877830505,True,
