bubble_id,attach_start_frame,detach_frame,dwell_frames,dwell_seconds,n_frames_tracked,n_unknown,mean_score_pct,note
0,,,0,0.0,53,0,nan,no_attached_run
1,,,0,0.0,235,0,nan,no_attached_run
2,,,0,0.0,85,0,nan,no_attached_run
3,,,0,0.0,132,0,nan,no_attached_run
4,,,0,0.0,140,0,nan,no_attached_run
5,,,0,0.0,8,0,nan,no_attached_run
6,2,,20,0.005,24,3,95.28848171234131,no_detach_found
7,,,0,0.0,210,0,nan,no_attached_run
8,2,13,11,0.00275,20,0,88.63077312707901,ok
9,,,0,0.0,125,2,nan,no_attached_run
10,2,,4,0.001,4,0,89.0899270772934,no_detach_found
11,2,20,18,0.0045,14,2,75.45724511146545,ok
12,,,0,0.0,58,46,nan,no_attached_run
13,10,16,6,0.0015,334,0,nan,ok
14,,,0,0.0,0,0,nan,no_frames
15,2,9,7,0.00175,18,0,78.54827907350328,ok
16,23,41,18,0.0045,28,17,62.83778250217438,ok
17,4,10,6,0.0015,250,2,68.97935152053833,ok
18,,,0,0.0,3,1,nan,no_attached_run
19,8,60,52,0.013,40,5,78.42849217928372,ok
20,18,23,5,0.00125,207,1,66.59596562385559,ok
21,13,,2,0.0005,2,0,53.66881489753723,no_detach_found
22,12,,20,0.005,19,0,88.38919746248347,no_detach_found
23,,,0,0.0,4,4,nan,no_attached_run
24,24,26,2,0.0005,336,0,nan,ok
25,16,,4,0.001,4,0,96.37689292430878,no_detach_found
26,,,0,0.0,3,2,nan,no_attached_run
27,,,0,0.0,1,0,nan,no_attached_run
28,,,0,0.0,1,0,nan,no_attached_run
29,25,,13,0.00325,13,0,91.40388415409969,no_detach_found
30,31,,25,0.00625,17,1,92.37682968378067,no_detach_found
31,,,0,0.0,3,0,nan,no_attached_run
32,,,0,0.0,1,0,nan,no_attached_run
33,40,96,56,0.014,63,0,94.61265582787362,ok
34,,,0,0.0,0,0,nan,no_frames
35,48,,40,0.01,38,0,94.7422794393591,no_detach_found
36,,,0,0.0,1,0,nan,no_attached_run
37,,,0,0.0,0,0,nan,no_frames
38,,,0,0.0,0,0,nan,no_frames
39,58,123,65,0.01625,300,35,91.89487787393423,ok
40,59,69,10,0.0025,274,0,nan,ok
41,,,0,0.0,0,0,nan,no_frames
42,,,0,0.0,0,0,nan,no_frames
43,,,0,0.0,5,0,nan,no_attached_run
44,,,0,0.0,5,4,nan,no_attached_run
45,,,0,0.0,0,0,nan,no_frames
46,88,90,2,0.0005,4,0,77.92008320490518,ok
47,,,0,0.0,3,0,nan,no_attached_run
48,92,93,1,0.00025,52,0,72.13651835918427,ok
49,92,,12,0.003,3,0,64.78851636250815,no_detach_found
50,96,100,4,0.001,119,1,nan,ok
51,98,98,0,0.0,288,0,58.850181102752686,ok
52,99,123,24,0.006,22,0,88.7123311820783,ok
53,,,0,0.0,0,0,nan,no_frames
54,,,0,0.0,2,1,nan,no_attached_run
55,,,0,0.0,0,0,nan,no_frames
56,,,0,0.0,1,0,nan,no_attached_run
57,,,0,0.0,20,0,nan,no_attached_run
58,,,0,0.0,7,0,nan,no_attached_run
59,117,,51,0.01275,49,0,92.76592655384795,no_detach_found
60,123,125,2,0.0005,155,0,nan,ok
61,122,189,67,0.01675,61,7,63.28589916229248,ok
62,,,0,0.0,87,0,nan,no_attached_run
63,,,0,0.0,4,0,nan,no_attached_run
64,125,,11,0.00275,11,0,91.78387143395163,no_detach_found
65,129,179,50,0.0125,331,0,92.81819112160626,ok
66,,,0,0.0,7,0,nan,no_attached_run
67,,,0,0.0,1,0,nan,no_attached_run
68,143,,11,0.00275,11,0,90.2591813694347,no_detach_found
69,,,0,0.0,0,0,nan,no_frames
70,,,0,0.0,3,0,nan,no_attached_run
71,,,0,0.0,0,0,nan,no_frames
72,160,,46,0.0115,47,0,95.43032114920409,no_detach_found
73,168,,41,0.01025,43,2,92.12076872587204,no_detach_found
74,,,0,0.0,1,0,nan,no_attached_run
75,,,0,0.0,1,0,nan,no_attached_run
76,,,0,0.0,0,0,nan,no_frames
77,182,,7,0.00175,7,0,95.17834527151925,no_detach_found
78,180,183,3,0.00075,24,0,54.96514439582825,ok
79,,,0,0.0,0,0,nan,no_frames
80,189,197,8,0.002,116,0,nan,ok
81,193,206,13,0.00325,14,0,61.44610643386841,ok
82,194,,54,0.0135,41,0,90.98202601075172,no_detach_found
83,,,0,0.0,0,0,nan,no_frames
84,209,220,11,0.00275,47,7,91.9201577703158,ok
85,197,,10,0.0025,10,0,87.73410499095917,no_detach_found
86,,,0,0.0,2,0,nan,no_attached_run
87,,,0,0.0,0,0,nan,no_frames
88,,,0,0.0,1,1,nan,no_attached_run
89,,,0,0.0,0,0,nan,no_frames
90,,,0,0.0,76,0,nan,no_attached_run
91,208,210,2,0.0005,10,0,78.51005593935648,ok
92,,,0,0.0,23,0,nan,no_attached_run
93,215,248,33,0.00825,74,0,92.74017178651059,ok
94,213,,29,0.00725,29,0,92.74885859982722,no_detach_found
95,,,0,0.0,0,0,nan,no_frames
96,,,0,0.0,0,0,nan,no_frames
97,,,0,0.0,0,0,nan,no_frames
98,,,0,0.0,1,0,nan,no_attached_run
99,,,0,0.0,0,0,nan,no_frames
100,,,0,0.0,0,0,nan,no_frames
101,243,244,1,0.00025,7,0,82.92230367660522,ok
102,248,,27,0.00675,21,0,91.0444608756474,no_detach_found
103,248,251,3,0.00075,219,0,78.76449972391129,ok
104,250,251,1,0.00025,199,0,nan,ok
105,,,0,0.0,224,0,nan,no_attached_run
106,,,0,0.0,22,0,nan,no_attached_run
107,,,0,0.0,0,0,nan,no_frames
108,252,313,61,0.01525,82,29,83.92816673625599,ok
109,261,,110,0.0275,115,14,nan,no_detach_found
110,,,0,0.0,0,0,nan,no_frames
111,279,,25,0.00625,22,5,nan,no_detach_found
112,285,324,39,0.00975,80,0,93.1670518219471,ok
113,,,0,0.0,181,24,nan,no_attached_run
114,,,0,0.0,1,0,nan,no_attached_run
115,,,0,0.0,0,0,nan,no_frames
116,,,0,0.0,70,0,nan,no_attached_run
117,300,,5,0.00125,5,0,90.22754669189453,no_detach_found
118,306,308,2,0.0005,27,1,nan,ok
119,,,0,0.0,0,0,nan,no_frames
120,,,0,0.0,0,0,nan,no_frames
121,311,,9,0.00225,9,0,82.84958998362222,no_detach_found
122,,,0,0.0,0,0,nan,no_frames
123,317,320,3,0.00075,150,4,nan,ok
124,,,0,0.0,0,0,nan,no_frames
125,,,0,0.0,5,0,nan,no_attached_run
126,,,0,0.0,0,0,nan,no_frames
127,327,,17,0.00425,17,0,91.30943662980023,no_detach_found
128,330,,29,0.00725,12,0,91.63368294636408,no_detach_found
129,,,0,0.0,10,8,nan,no_attached_run
130,,,0,0.0,0,0,nan,no_frames
131,,,0,0.0,3,3,nan,no_attached_run
132,,,0,0.0,51,46,nan,no_attached_run
133,,,0,0.0,17,0,nan,no_attached_run
134,,,0,0.0,0,0,nan,no_frames
135,353,,34,0.0085,17,0,96.04195706984576,no_detach_found
136,347,365,18,0.0045,28,0,nan,ok
137,373,398,25,0.00625,24,5,90.75464606285097,ok
138,,,0,0.0,1,0,nan,no_attached_run
139,,,0,0.0,0,0,nan,no_frames
140,350,360,10,0.0025,52,0,85.73927174914967,ok
141,371,382,11,0.00275,104,6,nan,ok
142,,,0,0.0,0,0,nan,no_frames
143,364,,18,0.0045,18,0,92.80221826500363,no_detach_found
144,,,0,0.0,91,0,nan,no_attached_run
145,,,0,0.0,0,0,nan,no_frames
146,,,0,0.0,0,0,nan,no_frames
147,,,0,0.0,1,0,nan,no_attached_run
148,,,0,0.0,93,0,nan,no_attached_run
149,388,432,44,0.011,87,0,93.75475737783644,ok
150,,,0,0.0,2,2,nan,no_attached_run
151,412,420,8,0.002,57,0,nan,ok
152,397,,28,0.007,73,42,94.06150771038872,no_detach_found
153,,,0,0.0,1,0,nan,no_attached_run
154,403,,10,0.0025,10,0,94.9925309419632,no_detach_found
155,413,415,2,0.0005,39,0,79.12298242251077,ok
156,,,0,0.0,0,0,nan,no_frames
157,,,0,0.0,2,0,nan,no_attached_run
158,421,,51,0.01275,55,6,93.9680734028419,no_detach_found
159,425,,4,0.001,4,0,84.0362012386322,no_detach_found
160,,,0,0.0,9,0,nan,no_attached_run
161,,,0,0.0,17,5,nan,no_attached_run
162,435,,9,0.00225,9,0,92.46918823983934,no_detach_found
163,435,,10,0.0025,10,0,86.39628827571869,no_detach_found
164,,,0,0.0,14,12,nan,no_attached_run
165,,,0,0.0,4,0,nan,no_attached_run
166,,,0,0.0,2,0,nan,no_attached_run
167,449,,26,0.0065,27,0,93.48760957901294,no_detach_found
168,461,,14,0.0035,15,0,92.88226621491569,no_detach_found
169,,,0,0.0,3,3,nan,no_attached_run
170,451,472,21,0.00525,12,0,94.40352374857123,ok
171,,,0,0.0,2,1,nan,no_attached_run
172,,,0,0.0,0,0,nan,no_frames
173,,,0,0.0,15,1,nan,no_attached_run
174,,,0,0.0,6,6,nan,no_attached_run
175,,,0,0.0,2,0,nan,no_attached_run
176,,,0,0.0,1,0,nan,no_attached_run
177,467,473,6,0.0015,8,0,69.39056888222694,ok
